year,month,county,abrState,name,CAT,recovery,numInMonth,numInSeason,recoverCount,prevProd,Production,vmax,mslp,time,takeupTotal,ratePoverty,houseMedianValue,houseOccupied,houseTotal,sumBuildingCoverage,policyCount
2012,5,Carteret County,NC,beryl,LO,2,1,1,1,-8.396,-13.001,45,995,6,0.080543325,10.2,207600,28235,48148,667707700,3878
2018,10,Chatham County,NC,michael,EX,4,1,1,1,3315.988,3602.743,50,989,0.545454545,0.000253526,8.5,484,28527,31555,1530000,8
2015,5,Columbus County,NC,ana,TD,2,1,1,1,38495.844,31831.43,30,1006,6,0.002276937,17.6,44,22006,25912,8398500,59
2016,9,Columbus County,NC,hermine,TS,14,1,1,1,44858.016,39961.293,55,992,0.857142857,0.001735107,17.4,46,22108,25935,7057800,45
2016,9,Craven County,NC,hermine,EX,4,1,1,1,54608.646,53289.94,60,994,1.2,0.011317634,10.4,172,40609,45946,94202200,520
2013,6,Cumberland County,NC,andrea,EX,2,1,1,1,-502,-487,40,996,0.75,0.00156835,14,128700,121226,138362,33889300,217
2014,7,Dare County,NC,arthur,H2,7,1,1,1,23.082,13.757,85,973,2,0.10498532,6.6,284400,14852,33719,720642700,3540
2016,9,Dare County,NC,hermine,EX,2,1,1,1,-0.345,-0.303,60,994,1.2,0.05850548,5.5,131,14706,34031,416318900,1991
2019,9,Dare County,NC,dorian,H2,4,1,1,1,32.644,17.502,85,956,6,0.008633927,5.8,164,15441,34515,66959600,298
2018,10,Davidson County,NC,michael,TS,2,1,1,1,14085.16,15777.888,45,990,0.6,9.42E-05,11.7,210,65471,74311,1504000,7
2018,10,Durham County,NC,michael,EX,6,1,1,1,3118.652,3536.653,50,989,0.545454545,0.000374731,11.9,570,123444,133429,10192500,50
2013,6,Edgecombe County,NC,andrea,EX,2,1,1,1,6125.168,2597.328,40,997,0.428571429,0.008614414,20,80600,21021,24726,27819800,213
2015,5,Edgecombe County,NC,ana,TD,2,1,1,1,1796.737,9814.967,30,1011,1.2,0.006718744,21.8,76,21026,24707,22239400,166
2018,10,Franklin County,NC,michael,EX,2,1,1,1,4215.669,4538.893,50,989,0.545454545,0.000107097,10.4,130,24749,28012,650000,3
2015,5,Gates County,NC,ana,TD,2,1,1,1,0,0,30,1012,1.2,0.001722488,9.6,10,4402,5225,1033600,9
2018,10,Granville County,NC,michael,EX,6,1,1,1,4100.715,4415.126,50,989,0.545454545,4.15E-05,10.9,73,21030,24069,117400,1
